farmer_id,name,district,taluka,village,land_area_acres,soil_type,irrigation_type
F0060,Dinesh Vanjari,Ahmednagar,Kopargaon,Sangamner Bk,10.8,Black,Well
F0061,Kamal Jagtap,Satara,Koregaon,Rahimatpur,14.3,Sandy,Well
F0062,Sachin Gaikwad,Sangli,Walwa,Ashta,10.2,Sandy,Sprinkler
F0063,Gorakh Tambe,Jalgaon,Jamner,Neri,10.1,Loamy,Rainfed
F0064,Kishor Aher,Latur,Renapur,Chapoli,8.4,Black,Borewell
F0065,Hanumant Mane,Kolhapur,Gadhinglaj,Nesari,7.2,Loamy,Rainfed
F0066,Baban Mohite,Aurangabad,Gangapur,Nandgaon,4.6,Laterite,Rainfed
F0067,Vinod More,Ahmednagar,Kopargaon,Sangamner Bk,12.2,Red,Drip
F0068,Prakash Nikam,Aurangabad,Sillod,Bharadi,7.1,Laterite,Well
F0069,Ravindra Wagh,Aurangabad,Kannad,Pishor,2.6,Laterite,Drip
F0070,Nitin Sable,Ahmednagar,Shrirampur,Bhokar,1.2,Red,Flood
F0071,Balasaheb Ghadge,Jalgaon,Bhusawal,Varangaon,14.3,Loamy,Well
F0072,Jyoti Sable,Nanded,Naigaon,Bondar,11.3,Loamy,Sprinkler
F0073,Eknath Nikam,Beed,Majalgaon,Neknur,9.6,Sandy,Sprinkler
F0074,Santosh Kulkarni,Ahmednagar,Kopargaon,Chas,5.1,Clayey,Drip
F0075,Vikas Bhosale,Ahmednagar,Sangamner,Ghargaon,10.7,Black,Sprinkler
F0076,Anita Bansode,Nanded,Naigaon,Bharsi,1.4,Alluvial,Sprinkler
F0077,Dinesh Yadav,Sangli,Miraj,Bedag,7.4,Sandy,Borewell
F0078,Dinesh Bhoir,Nanded,Hadgaon,Tamsa,7.6,Sandy,Sprinkler
F0079,Vaishali Jadhav,Kolhapur,Shirol,Jaysingpur,11.0,Alluvial,Sprinkler
F0080,Deepak Aher,Nanded,Bhokar,Loni,9.1,Laterite,Drip
F0081,Anil Sable,Jalgaon,Bhusawal,Bahadarpur,1.2,Loamy,Borewell
F0082,Baban Ghadge,Satara,Wai,Kikali,4.5,Alluvial,Sprinkler
F0083,Popat More,Aurangabad,Paithan,Bidkin,15.0,Sandy,Canal
F0084,Rahul Shinde,Pune,Indapur,Walchandnagar,12.7,Clayey,Canal
F0085,Sopan Chavan,Aurangabad,Paithan,Bidkin,7.2,Sandy,Flood
F0086,Subhash Kadam,Latur,Chakur,Mangrul,11.8,Red,Borewell
F0087,Nitin Yadav,Pune,Daund,Kurkumbh,10.3,Loamy,Sprinkler
F0088,Shivaji Deshmukh,Latur,Nilanga,Halasi,10.6,Sandy,Flood
F0089,Balasaheb Vanjari,Pune,Daund,Kurkumbh,6.7,Sandy,Drip
F0090,Jyoti Bansode,Pune,Purandar,Zendewadi,2.0,Sandy,Rainfed
F0091,Sarita Bhosale,Kolhapur,Hatkanangle,Rukadi,9.4,Clayey,Flood
F0092,Nirmala Ghadge,Kolhapur,Gadhinglaj,Nesari,5.2,Red,Flood
F0093,Ashok Thorat,Aurangabad,Gangapur,Vaijapur Road,8.8,Laterite,Sprinkler
F0094,Gajanan Jadhav,Aurangabad,Vaijapur,Shivna,7.6,Sandy,Flood
F0095,Eknath Bansode,Solapur,Akkalkot,Jewargi,8.6,Clayey,Canal
F0096,Anil Nikam,Sangli,Khanapur,Bhalavani,8.6,Red,Rainfed
F0097,Kalpana Lokhande,Aurangabad,Paithan,Bidkin,4.8,Loamy,Rainfed
F0098,Bhausaheb Joshi,Beed,Ashti,Karanjwan,7.4,Clayey,Borewell
F0099,Mangal Tambe,Satara,Wai,Kikali,4.4,Sandy,Canal
F0100,Balasaheb Jagtap,Satara,Karad,Umbraj,8.3,Alluvial,Rainfed
F0101,Bharat Jagtap,Ahmednagar,Sangamner,Nimon,11.0,Alluvial,Well
F0102,Hanumant Kale,Ahmednagar,Kopargaon,Sangamner Bk,5.7,Sandy,Drip
F0103,Kamal Chavan,Solapur,Pandharpur,Gopalpur,8.5,Laterite,Canal
F0104,Vaishali Kale,Pune,Shirur,Kendur,7.3,Loamy,Borewell
F0105,Bharat Pawar,Solapur,Karmala,Kem,12.4,Loamy,Sprinkler
F0106,Santosh Vanjari,Beed,Georai,Talwada,2.7,Clayey,Borewell
F0107,Anil Nikam,Nashik,Yeola,Sonewadi,9.3,Alluvial,Well
F0108,Namdev Ranaware,Kolhapur,Panhala,Bhuye,4.8,Clayey,Sprinkler
F0109,Bapu Vanjari,Latur,Ausa,Killari,14.2,Red,Rainfed
F0110,Baban Suryawanshi,Beed,Georai,Talwada,4.0,Clayey,Drip
F0111,Sunil Patil,Kolhapur,Panhala,Bhuye,4.7,Red,Borewell
F0112,Hanumant Ghadge,Nashik,Niphad,Chandori,11.9,Laterite,Well
F0113,Shivaji Sable,Nashik,Yeola,Nagade,9.9,Sandy,Flood
F0114,Yogesh Deshmukh,Pune,Indapur,Nimgaon,9.1,Alluvial,Well
F0115,Hanumant Dalvi,Nashik,Dindori,Umrale,10.6,Sandy,Well
F0116,Lata Lokhande,Aurangabad,Paithan,Bidkin,13.4,Laterite,Borewell
F0117,Popat Jadhav,Nashik,Niphad,Pimpalgaon Baswant,15.0,Laterite,Flood
F0118,Vasant Vanjari,Pune,Indapur,Bawada,8.0,Loamy,Borewell
F0119,Bharat Yadav,Kolhapur,Panhala,Kodoli,7.3,Loamy,Borewell
F0120,Kiran Kale,Jalgaon,Erandol,Chinawal,10.6,Sandy,Rainfed
F0121,Kavita Tambe,Pune,Purandar,Saswad,5.1,Sandy,Drip
F0122,Kavita Mohite,Pune,Shirur,Chandan Rajuri,6.5,Red,Well
F0123,Chandrakant Aher,Aurangabad,Kannad,Pishor,3.5,Clayey,Canal
F0124,Hanumant Dalvi,Sangli,Khanapur,Vita,0.9,Laterite,Well
F0125,Sopan Kadam,Solapur,Akkalkot,Bori,8.5,Black,Canal
F0126,Rajendra Ghadge,Nashik,Niphad,Vinchur,14.0,Sandy,Well
F0127,Vasant Bhoir,Aurangabad,Kannad,Pishor,7.1,Red,Sprinkler
F0128,Ravindra Zende,Nanded,Kandhar,Fulwal,4.5,Alluvial,Flood
F0129,Sushma Bansode,Nanded,Mudkhed,Ardhapur,4.6,Sandy,Flood
F0130,Vaishali Bhosale,Aurangabad,Sillod,Amba,5.5,Clayey,Flood
F0131,Lata Wagh,Aurangabad,Vaijapur,Shivna,14.7,Red,Well
F0132,Dinesh Waghmare,Kolhapur,Karvir,Uchgaon,11.3,Laterite,Flood
F0133,Uttam Wagh,Beed,Ambajogai,Manoli,14.5,Red,Well
F0134,Vinod Kale,Aurangabad,Paithan,Vahegaon,0.7,Red,Sprinkler
F0135,Pravin Deshmukh,Aurangabad,Vaijapur,Lasur,9.5,Loamy,Rainfed
F0136,Anil Bansode,Beed,Ashti,Karanjwan,14.3,Laterite,Rainfed
F0137,Vaishali Sathe,Pune,Shirur,Ranjangaon,3.9,Laterite,Borewell
F0138,Dattatray More,Kolhapur,Karvir,Nigave,6.9,Laterite,Borewell
F0139,Sanjay Shinde,Satara,Karad,Masur,5.7,Loamy,Canal
F0140,Bhausaheb Ranaware,Kolhapur,Gadhinglaj,Kadgaon,3.0,Black,Well
F0141,Uttam Aher,Beed,Ambajogai,Manoli,13.7,Red,Canal
F0142,Pushpa Suryawanshi,Aurangabad,Vaijapur,Shivna,13.5,Loamy,Borewell
F0143,Lata Kadam,Nashik,Dindori,Umrale,14.8,Sandy,Rainfed
F0144,Mangal Suryawanshi,Aurangabad,Vaijapur,Shivna,15.0,Alluvial,Sprinkler
F0145,Nitin Nikam,Kolhapur,Gadhinglaj,Nesari,8.8,Laterite,Borewell
F0146,Amit Rathod,Solapur,Pandharpur,Bhandishegaon,13.0,Alluvial,Rainfed
F0147,Dilip Zende,Sangli,Khanapur,Bhalavani,11.7,Red,Well
F0148,Ratan Waghmare,Beed,Ambajogai,Manoli,10.3,Laterite,Flood
F0149,Vikas Kale,Beed,Georai,Rakshasbhuvan,11.9,Black,Well
F0150,Chandrakant Chavan,Nashik,Malegaon,Sayane,11.3,Red,Canal
F0151,Deepak Sathe,Satara,Man,Mhaswad,12.5,Sandy,Flood
F0152,Nirmala Kulkarni,Sangli,Walwa,Islampur,7.3,Black,Canal
F0153,Namdev Rathod,Nanded,Mudkhed,Ardhapur,12.0,Black,Borewell
F0154,Kamal Gaikwad,Aurangabad,Vaijapur,Lasur,9.0,Alluvial,Rainfed
F0155,Subhash Kale,Beed,Ambajogai,Manoli,0.9,Clayey,Borewell
F0156,Namdev Deshmukh,Beed,Parli,Mangrul,9.9,Black,Canal
F0157,Prakash Shinde,Solapur,Karmala,Kem,1.9,Clayey,Canal
F0158,Dinesh Ghadge,Satara,Man,Mhaswad,9.0,Laterite,Canal
F0159,Sushma Kale,Aurangabad,Sillod,Amba,14.1,Sandy,Drip
F0160,Subhash Mane,Aurangabad,Kannad,Pishor,12.9,Black,Rainfed
F0161,Subhash Sathe,Beed,Majalgaon,Kada,6.3,Red,Drip
F0162,Sarita More,Beed,Ambajogai,Bardapur,1.2,Sandy,Canal
F0163,Deepak Vanjari,Ahmednagar,Rahata,Loni,3.5,Red,Flood
F0164,Dattatray Bansode,Jalgaon,Raver,Nimbhora,4.5,Red,Canal
F0165,Lata Suryawanshi,Jalgaon,Chopda,Adgaon,2.4,Sandy,Flood
F0166,Sopan Yadav,Satara,Karad,Kale,4.3,Red,Rainfed
F0167,Sushma Ranaware,Nashik,Sinnar,Dodi Khurd,7.0,Sandy,Well
F0168,Nitin Dalvi,Nanded,Kandhar,Fulwal,11.0,Alluvial,Rainfed
F0169,Alka Joshi,Aurangabad,Paithan,Bidkin,15.0,Alluvial,Sprinkler
F0170,Mangal Kale,Aurangabad,Kannad,Pishor,13.5,Sandy,Well
F0171,Yogesh Deshmukh,Jalgaon,Erandol,Chinawal,6.0,Clayey,Well
F0172,Gorakh Ghadge,Nanded,Hadgaon,Chikhali,1.9,Laterite,Drip
F0173,Baban Sable,Aurangabad,Gangapur,Vaijapur Road,5.4,Loamy,Sprinkler
F0174,Sushma Kale,Satara,Koregaon,Wathar,10.1,Sandy,Canal
F0175,Kalpana Deshmukh,Nashik,Sinnar,Shivapur,6.8,Laterite,Rainfed
F0176,Subhash Chavan,Nanded,Bhokar,Loni,10.2,Loamy,Borewell
F0177,Mangal Pawar,Solapur,Akkalkot,Jewargi,5.6,Clayey,Well
F0178,Baban Bhosale,Beed,Parli,Sirsala,12.8,Sandy,Flood
F0179,Subhash Gaikwad,Solapur,Akkalkot,Bori,12.2,Alluvial,Well
F0180,Sanjay Zende,Beed,Majalgaon,Kada,3.1,Laterite,Flood
F0181,Bapu Bansode,Satara,Karad,Kale,13.1,Clayey,Rainfed
F0182,Kavita Deshmukh,Jalgaon,Chopda,Adgaon,11.3,Red,Sprinkler
F0183,Sushma Ghadge,Satara,Phaltan,Sasewadi,5.0,Sandy,Flood
F0184,Anil Pawar,Jalgaon,Jamner,Kajgaon,1.2,Black,Borewell
F0185,Vandana Sable,Aurangabad,Sillod,Amba,6.5,Red,Flood
F0186,Manisha Gaikwad,Satara,Koregaon,Rahimatpur,4.6,Laterite,Well
F0187,Vaishali Ranaware,Beed,Majalgaon,Kada,3.7,Clayey,Drip
F0188,Ramesh Mane,Solapur,Barshi,Vairag,11.6,Sandy,Borewell
F0189,Balasaheb Patil,Aurangabad,Kannad,Pishor,2.4,Clayey,Rainfed
F0190,Dattatray Mohite,Nanded,Mudkhed,Ardhapur,6.3,Laterite,Drip
F0191,Shobha Jadhav,Aurangabad,Paithan,Vahegaon,8.8,Clayey,Sprinkler
F0192,Sushma Kulkarni,Nashik,Dindori,Vani,14.5,Red,Flood
F0193,Sarita Pardeshi,Nashik,Dindori,Vani,4.0,Clayey,Sprinkler
F0194,Shakuntala More,Kolhapur,Shirol,Jaysingpur,3.7,Alluvial,Canal
F0195,Santosh Mohite,Beed,Georai,Talwada,13.6,Sandy,Borewell
F0196,Yogesh Nikam,Nashik,Niphad,Chandori,3.4,Clayey,Canal
F0197,Santosh Salunkhe,Beed,Parli,Mangrul,11.4,Alluvial,Well
F0198,Rekha Vanjari,Beed,Ashti,Karanjwan,13.0,Laterite,Borewell
F0199,Pravin Dalvi,Nashik,Dindori,Chausala,9.7,Alluvial,Borewell
F0200,Ganesh Gawali,Nanded,Bhokar,Loni,7.2,Black,Drip
F0201,Subhash Kulkarni,Nashik,Sinnar,Dodi Khurd,7.2,Clayey,Flood
F0202,Prakash Dalvi,Latur,Nilanga,Aurad,9.3,Clayey,Canal
F0203,Ganesh Dalvi,Nashik,Malegaon,Zodge,7.8,Red,Drip
F0204,Bhausaheb Dalvi,Aurangabad,Sillod,Bharadi,5.8,Sandy,Sprinkler
F0205,Anita Bansode,Beed,Ashti,Pimpalgaon,11.9,Laterite,Borewell
F0206,Rahul Bansode,Nashik,Yeola,Anwane,6.1,Sandy,Rainfed
F0207,Pravin Bansode,Nashik,Yeola,Anwane,2.6,Sandy,Borewell
F0208,Sunita Chavan,Latur,Ausa,Chincholi,8.6,Laterite,Flood
F0209,Vinod Chavan,Beed,Ashti,Pimpalgaon,9.9,Loamy,Well
F0210,Chandrakant Jadhav,Satara,Wai,Bavdhan,14.3,Sandy,Flood
F0211,Vaishali Jagtap,Ahmednagar,Shrirampur,Belapur,1.6,Alluvial,Flood
F0212,Mahesh Mohite,Nanded,Hadgaon,Tamsa,10.1,Alluvial,Well
F0213,Deepak Zende,Kolhapur,Hatkanangle,Ichalkaranji,3.1,Laterite,Flood
F0214,Manoj Dalvi,Pune,Purandar,Jejuri,10.3,Red,Sprinkler
F0215,Hanumant Dalvi,Ahmednagar,Newasa,Bhendapur,5.0,Alluvial,Flood
F0216,Kalpana Jagtap,Satara,Man,Mhaswad,7.2,Sandy,Flood
F0217,Uttam Mohite,Nanded,Naigaon,Bondar,12.3,Alluvial,Well
F0218,Vikas Suryawanshi,Pune,Purandar,Jejuri,8.5,Black,Rainfed
F0219,Alka Gaikwad,Solapur,Pandharpur,Gopalpur,4.5,Clayey,Canal
F0220,Shobha More,Ahmednagar,Sangamner,Nimon,14.0,Loamy,Drip
F0221,Sunita Mohite,Satara,Phaltan,Sasewadi,14.9,Sandy,Canal
F0222,Sanjay Shelke,Nashik,Malegaon,Dabhadi,2.5,Sandy,Flood
F0223,Kalpana Chavan,Sangli,Khanapur,Bhalavani,9.4,Black,Drip
F0224,Popat Mane,Jalgaon,Raver,Save,2.1,Sandy,Canal
F0225,Shankar Gaikwad,Pune,Indapur,Bawada,9.8,Clayey,Sprinkler
F0226,Rahul Gaikwad,Aurangabad,Sillod,Bharadi,9.7,Clayey,Canal
F0227,Yogesh Kulkarni,Kolhapur,Karvir,Uchgaon,4.0,Loamy,Canal
F0228,Anil Ranaware,Satara,Karad,Umbraj,8.4,Alluvial,Well
F0229,Amit Wagh,Aurangabad,Paithan,Vahegaon,14.7,Sandy,Rainfed
F0230,Amit Gawali,Nashik,Malegaon,Dabhadi,11.1,Laterite,Drip
F0231,Vinod Chavan,Pune,Daund,Kurkumbh,5.4,Laterite,Canal
F0232,Pushpa Kapse,Beed,Ambajogai,Bardapur,1.4,Alluvial,Sprinkler
F0233,Vijay Kulkarni,Ahmednagar,Rahata,Shirdi,13.3,Sandy,Borewell
F0234,Manisha Rathod,Nanded,Naigaon,Bharsi,1.0,Laterite,Canal
F0235,Hanumant Gawali,Pune,Daund,Rahu,2.3,Sandy,Sprinkler
F0236,Kavita Dalvi,Kolhapur,Shirol,Kurundwad,7.7,Loamy,Borewell
F0237,Alka Thorat,Nashik,Dindori,Vani,6.7,Alluvial,Canal
F0238,Lata Kulkarni,Satara,Karad,Kale,5.3,Sandy,Borewell
F0239,Rekha Zende,Sangli,Khanapur,Vita,10.5,Sandy,Sprinkler
F0240,Prakash Gawali,Latur,Udgir,Hipparga,9.8,Alluvial,Drip
F0241,Santosh Rathod,Satara,Man,Dahiwadi,14.3,Red,Flood
F0242,Vandana Shinde,Jalgaon,Chopda,Kolhali,11.8,Sandy,Borewell
F0243,Dinesh Vanjari,Pune,Shirur,Talegaon Dhamdhere,10.3,Sandy,Borewell
F0244,Vandana Deshmukh,Latur,Nilanga,Aurad,6.3,Laterite,Borewell
F0245,Bhausaheb Gaikwad,Pune,Indapur,Bawada,8.0,Clayey,Drip
F0246,Eknath Suryawanshi,Sangli,Khanapur,Vita,14.9,Sandy,Rainfed
F0247,Vaishali Jagtap,Nashik,Niphad,Pimpalgaon Baswant,7.1,Laterite,Sprinkler
F0248,Ashok Shelke,Beed,Majalgaon,Kada,8.5,Sandy,Borewell
F0249,Sunil Salunkhe,Satara,Man,Dahiwadi,2.3,Red,Flood
F0250,Vikas Nikam,Aurangabad,Paithan,Vahegaon,8.5,Sandy,Sprinkler
F0251,Deepak Aher,Nashik,Sinnar,Bhojapur,6.3,Laterite,Rainfed
F0252,Nirmala Ranaware,Kolhapur,Panhala,Kodoli,2.3,Sandy,Rainfed
F0253,Santosh Dalvi,Aurangabad,Sillod,Amba,2.4,Alluvial,Flood
F0254,Bharat Chavan,Kolhapur,Gadhinglaj,Kadgaon,12.6,Clayey,Canal
F0255,Shankar Kadam,Jalgaon,Erandol,Anturli,5.5,Clayey,Borewell
F0256,Anil Suryawanshi,Ahmednagar,Newasa,Sonai,2.3,Sandy,Well
F0257,Kamal More,Nanded,Kandhar,Fulwal,3.0,Clayey,Rainfed
F0258,Gajanan Vanjari,Pune,Baramati,Wadgaon,1.2,Laterite,Flood
F0259,Eknath Mane,Latur,Udgir,Devangaon,7.7,Laterite,Well
F0260,Gorakh Joshi,Aurangabad,Gangapur,Vaijapur Road,4.8,Black,Rainfed
F0261,Ganesh Kadam,Aurangabad,Kannad,Chapanwadi,7.2,Sandy,Well
F0262,Yogesh Shelke,Sangli,Walwa,Ashta,14.6,Red,Flood
F0263,Subhash Mohite,Nanded,Bhokar,Loni,4.0,Black,Borewell
F0264,Rekha Nikam,Jalgaon,Chopda,Adgaon,4.7,Loamy,Flood
F0265,Sushma Nikam,Jalgaon,Erandol,Chinawal,3.3,Red,Sprinkler
F0266,Manisha Ghadge,Aurangabad,Vaijapur,Lasur,0.8,Loamy,Well
F0267,Sarita Nikam,Ahmednagar,Newasa,Sonai,1.2,Sandy,Sprinkler
F0268,Kalpana Kulkarni,Nanded,Bhokar,Karla,6.7,Sandy,Rainfed
F0269,Chandrakant Rathod,Satara,Karad,Masur,1.2,Clayey,Canal
F0270,Chandrakant Tambe,Solapur,Pandharpur,Kasegaon,7.8,Alluvial,Well
F0271,Laxman Aher,Beed,Ashti,Pimpalgaon,2.4,Black,Sprinkler
F0272,Subhash Bansode,Nanded,Mudkhed,Ardhapur,3.4,Clayey,Sprinkler
F0273,Jyoti Shinde,Pune,Baramati,Katewadi,10.8,Alluvial,Sprinkler
F0274,Alka Ghadge,Jalgaon,Raver,Nimbhora,5.3,Clayey,Borewell
F0275,Sunil Rathod,Latur,Renapur,Chapoli,7.9,Clayey,Well
F0276,Vaishali Vanjari,Solapur,Karmala,Kem,5.8,Laterite,Drip
F0277,Sushma Yadav,Solapur,Pandharpur,Bhandishegaon,7.4,Laterite,Flood
F0278,Dattatray Pawar,Latur,Udgir,Devangaon,8.1,Laterite,Well
F0279,Uttam Bhosale,Beed,Ambajogai,Bardapur,8.8,Laterite,Drip
F0280,Ravindra Jadhav,Aurangabad,Vaijapur,Lasur,2.7,Laterite,Canal
F0281,Anita Mohite,Latur,Udgir,Devangaon,10.7,Clayey,Canal
F0282,Kiran Kapse,Nanded,Naigaon,Bharsi,14.4,Loamy,Well
F0283,Gajanan Sathe,Satara,Wai,Kikali,3.3,Red,Borewell
F0284,Shankar Waghmare,Solapur,Mohol,Shetphal,10.5,Loamy,Borewell
F0285,Nirmala Gawali,Nanded,Mudkhed,Malegaon,2.3,Laterite,Well
F0286,Uttam Rathod,Satara,Phaltan,Sasewadi,1.1,Laterite,Drip
F0287,Arun Dalvi,Beed,Majalgaon,Neknur,3.6,Alluvial,Well
F0288,Vasant Tambe,Sangli,Walwa,Islampur,2.1,Laterite,Well
F0289,Sopan Nikam,Pune,Shirur,Talegaon Dhamdhere,9.8,Black,Drip
F0290,Anita Bansode,Sangli,Khanapur,Vita,10.4,Red,Drip
F0291,Sunil Bhoir,Beed,Parli,Mangrul,9.9,Alluvial,Borewell
F0292,Kiran Kulkarni,Beed,Georai,Talwada,10.0,Red,Well
F0293,Vijay Salunkhe,Kolhapur,Hatkanangle,Ichalkaranji,15.0,Loamy,Flood
F0294,Sangita Salunkhe,Sangli,Walwa,Islampur,0.6,Clayey,Well
F0295,Nitin Bansode,Solapur,Karmala,Jeur,13.4,Red,Flood
F0296,Jyoti Ghadge,Solapur,Barshi,Vairag,5.3,Laterite,Sprinkler
F0297,Popat Salunkhe,Pune,Daund,Rahu,8.7,Alluvial,Canal
F0298,Kishor Aher,Beed,Parli,Mangrul,8.0,Black,Sprinkler
F0299,Mahesh Salunkhe,Jalgaon,Bhusawal,Varangaon,14.1,Black,Borewell
F0300,Dinesh Nikam,Aurangabad,Vaijapur,Lasur,4.9,Laterite,Well
F0301,Suresh Suryawanshi,Beed,Majalgaon,Kada,1.4,Black,Sprinkler
F0302,Bapu Kadam,Kolhapur,Gadhinglaj,Nesari,10.5,Laterite,Borewell
F0303,Subhash Aher,Ahmednagar,Shrirampur,Belapur,7.4,Loamy,Rainfed
F0304,Subhash Bhoir,Sangli,Jat,Sanond,11.5,Alluvial,Rainfed
F0305,Baban Nikam,Beed,Ashti,Pimpalgaon,8.1,Clayey,Rainfed
F0306,Chandrakant Deshmukh,Latur,Ausa,Killari,12.5,Clayey,Canal
F0307,Kamal Bhosale,Jalgaon,Erandol,Chinawal,2.2,Red,Rainfed
F0308,Vaishali More,Nanded,Naigaon,Bondar,7.1,Clayey,Sprinkler
F0309,Sarita Vanjari,Pune,Shirur,Chandan Rajuri,10.3,Sandy,Rainfed
F0310,Amit Rathod,Solapur,Pandharpur,Bhandishegaon,3.7,Black,Drip
F0311,Mangal Gawali,Sangli,Miraj,Kavthe Mahankal,14.1,Black,Sprinkler
F0312,Vijay Kulkarni,Kolhapur,Hatkanangle,Ichalkaranji,11.6,Laterite,Rainfed
F0313,Sushma Pardeshi,Kolhapur,Panhala,Bhuye,5.9,Laterite,Rainfed
F0314,Lata Chavan,Beed,Majalgaon,Kada,3.1,Clayey,Sprinkler
F0315,Shakuntala Chavan,Sangli,Tasgaon,Manjarde,11.5,Sandy,Sprinkler
F0316,Lata Sable,Nanded,Naigaon,Bondar,4.1,Sandy,Canal
